Entry	Entry name	Status	Protein names	Gene names	Organism	Taxonomic lineage (ALL)	Taxonomic lineage (GENUS)	Taxonomic lineage IDs
A0A0K2SNV4	A0A0K2SNV4_9FIRM	unreviewed	Translational regulator CsrA	csrA LIP_2966	Limnochorda pilosa	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Limnochordia, Limnochordales, Limnochordaceae, Limnochorda, Limnochorda pilosa	Limnochorda	1555112
A0A2R3MYV0	A0A2R3MYV0_9FIRM	unreviewed	Translational regulator CsrA	csrA C3V36_05455	Lachnospiraceae bacterium oral taxon 500	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Lachnospiraceae, unclassified Lachnospiraceae, Lachnospiraceae bacterium oral taxon 500		712991
Q6AG99	CSRA_LEIXX	reviewed	Translational regulator CsrA	csrA Lxx06470	Leifsonia xyli subsp. xyli (strain CTCB07)	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Microbacteriaceae, Leifsonia, Leifsonia xyli, Leifsonia xyli subsp. xyli, Leifsonia xyli subsp. xyli (strain CTCB07)	Leifsonia	281090
A0A518I7B2	A0A518I7B2_9PLAN	unreviewed	Translational regulator CsrA	csrA_1 csrA Enr17x_09850	Gimesia fumaroli	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Gimesia, Gimesia fumaroli	Gimesia	2527976
L0DJ67	L0DJ67_SINAD	unreviewed	Translational regulator CsrA	csrA Sinac_5257	Singulisphaera acidiphila (strain ATCC BAA-1392 / DSM 18658 / VKM B-2454 / MOB10)	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Isosphaerales, Isosphaeraceae, Singulisphaera, Singulisphaera acidiphila, Singulisphaera acidiphila (strain ATCC BAA-1392 / DSM 18658 / VKM B-2454 / MOB10)	Singulisphaera	886293
A0A1R1MCT7	A0A1R1MCT7_9MICC	unreviewed	Translational regulator CsrA	csrA BGP79_12220	Tersicoccus sp. Bi-70	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Micrococcaceae, Tersicoccus, unclassified Tersicoccus, Tersicoccus sp. Bi-70	Tersicoccus	1897634
A0A1H1FTS1	A0A1H1FTS1_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA SAMN05216569_2780	Pseudoxanthomonas sp. CF125	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Pseudoxanthomonas, unclassified Pseudoxanthomonas, Pseudoxanthomonas sp. CF125	Pseudoxanthomonas	1855303
A0A0F4SZE5	A0A0F4SZE5_PSEFL	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA csrA1_1 PS943_03011 VC34_25935	Pseudomonas fluorescens	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas fluorescens group (fluorescent pseudomonads), Pseudomonas fluorescens	Pseudomonas	294
A0A1C6FUZ3	A0A1C6FUZ3_9CLOT	unreviewed	Translational regulator CsrA	csrA SAMEA3545390_02375	uncultured Butyricicoccus sp.	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Butyricicoccus, environmental samples, uncultured Butyricicoccus sp.	Butyricicoccus	1193532
A0A090ZC01	A0A090ZC01_PAEMA	unreviewed	Translational regulator CsrA	csrA DJ90_3811	Paenibacillus macerans (Bacillus macerans)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus macerans (Bacillus macerans)	Paenibacillus	44252
A0A351QSA1	A0A351QSA1_CLOSP	unreviewed	Translational regulator CsrA	csrA DCW51_01100	Clostridium sp.	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, unclassified Clostridium, Clostridium sp.	Clostridium	1506
Q18CX3	CSRA_CLOD6	reviewed	Translational regulator CsrA	csrA CD630_02340	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Peptostreptococcaceae, Clostridioides, Clostridioides difficile (Peptoclostridium difficile), Clostridioides difficile (strain 630) (Peptoclostridium difficile)	Clostridioides	272563
A0A3N5YS73	A0A3N5YS73_9BACT	unreviewed	Translational regulator CsrA	csrA EHM24_03585 EHM24_27705	Acidobacteria bacterium	cellular organisms, Bacteria, Acidobacteria, unclassified Acidobacteria, Acidobacteria bacterium		1978231
B9MKA5	CSRA_CALBD	reviewed	Translational regulator CsrA	csrA Athe_1669	Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / Z-1320) (Anaerocellum thermophilum)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Caldicellulosiruptor, Caldicellulosiruptor bescii (Anaerocellum thermophilum), Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / Z-1320) (Anaerocellum thermophilum)	Caldicellulosiruptor	521460
A1SER2	CSRA_NOCSJ	reviewed	Translational regulator CsrA	csrA Noca_0772	Nocardioides sp. (strain ATCC BAA-499 / JS614)	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Propionibacteriales, Nocardioidaceae, Nocardioides, unclassified Nocardioides, Nocardioides sp. (strain ATCC BAA-499 / JS614)	Nocardioides	196162
E1QJF7	E1QJF7_DESB2	unreviewed	Translational regulator CsrA	csrA Deba_2338	Desulfarculus baarsii (strain ATCC 33931 / DSM 2075 / LMG 7858 / VKM B-1802 / 2st14)	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfarculales, Desulfarculaceae, Desulfarculus, Desulfarculus baarsii (Desulfovibrio baarsii), Desulfarculus baarsii (strain ATCC 33931 / DSM 2075 / LMG 7858 / VKM B-1802 / 2st14)	Desulfarculus	644282
A0A0U5P131	A0A0U5P131_9CLOT	unreviewed	Translational regulator CsrA	csrA BN3456_02872	Clostridium sp. C105KSO13	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, unclassified Clostridium, Clostridium sp. C105KSO13	Clostridium	1776045
A0A069RCI0	A0A069RCI0_PEPLI	unreviewed	Translational regulator CsrA	csrA CLIT_13c00810	Peptoclostridium litorale DSM 5388	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Peptostreptococcaceae, Peptoclostridium, Peptoclostridium litorale (Clostridium litorale), Peptoclostridium litorale DSM 5388	Peptoclostridium	1121324
E3DPD5	E3DPD5_HALPG	unreviewed	Translational regulator CsrA	csrA Hprae_0532	Halanaerobium praevalens (strain ATCC 33744 / DSM 2228 / GSL)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Halanaerobiales, Halanaerobiaceae, Halanaerobium, Halanaerobium praevalens, Halanaerobium praevalens (strain ATCC 33744 / DSM 2228 / GSL)	Halanaerobium	572479
A0A1D8GGH9	A0A1D8GGH9_9CLOT	unreviewed	Translational regulator CsrA	csrA Gferi_10760	Geosporobacter ferrireducens	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Geosporobacter, Geosporobacter ferrireducens	Geosporobacter	1424294
A0A3D4PDJ8	A0A3D4PDJ8_9PLAN	unreviewed	Translational regulator CsrA	csrA DIW81_14045	Planctomycetaceae bacterium	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, unclassified Planctomycetaceae, Planctomycetaceae bacterium		2026779
A0A517WCU1	A0A517WCU1_9PLAN	unreviewed	Translational regulator CsrA	csrA FYZ48_09765 HG66A1_27500 V6x_27730	Gimesia chilikensis	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Gimesia, Gimesia chilikensis	Gimesia	2605989
A0A2G6N266	A0A2G6N266_9DELT	unreviewed	Translational regulator CsrA	csrA CSA26_01035	Desulfobacterales bacterium	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfobacterales, unclassified Desulfobacterales, Desulfobacterales bacterium		2044940
A0A1C3ENY7	A0A1C3ENY7_9PLAN	unreviewed	Translational regulator CsrA	csrA A6X21_04715	Planctopirus hydrillae	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctopirus, Planctopirus hydrillae	Planctopirus	1841610
A0A1I5N254	A0A1I5N254_9PROT	unreviewed	Translational regulator CsrA	csrA SAMN05216234_10819	Hydrogenimonas thermophila	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Campylobacterales, Hydrogenimonaceae, Hydrogenimonas, Hydrogenimonas thermophila	Hydrogenimonas	223786
E0IEC9	E0IEC9_9BACL	unreviewed	Translational regulator CsrA	csrA PaecuDRAFT_4020	Paenibacillus curdlanolyticus YK9	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus curdlanolyticus, Paenibacillus curdlanolyticus YK9	Paenibacillus	717606
A0A3A1UKV4	A0A3A1UKV4_9BACL	unreviewed	Translational regulator CsrA	csrA D3P08_25080	Paenibacillus nanensis	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus nanensis	Paenibacillus	393251
A0A410PSS9	A0A410PSS9_9FIRM	unreviewed	Translational regulator CsrA	csrA EQM06_01590	Aminipila sp. JN-18	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Eubacteriales incertae sedis, Clostridiales Family XIII. Incertae Sedis, Aminipila, unclassified Aminipila, Aminipila sp. JN-18	Aminipila	2507160
A0A517Y265	A0A517Y265_9BACT	unreviewed	Translational regulator CsrA	csrA_4 csrA ETAA1_58700	Urbifossiella limnaea	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Urbifossiella, Urbifossiella limnaea	Urbifossiella	2528023
A0A0Q9DBD9	A0A0Q9DBD9_9MICO	unreviewed	Translational regulator CsrA	csrA ASE34_10735	Microbacterium sp. Root280D1	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Microbacteriaceae, Microbacterium, unclassified Microbacterium, Microbacterium sp. Root280D1	Microbacterium	1736510
A0A3A8UF94	A0A3A8UF94_9BACT	unreviewed	Translational regulator CsrA	csrA D7V81_13250	bacterium 1XD21-70	cellular organisms, Bacteria, unclassified Bacteria, bacterium 1XD21-70		2320103
B8L491	B8L491_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA_1 csrA SSKA14_3795	Stenotrophomonas sp. SKA14	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas, unclassified Stenotrophomonas, Stenotrophomonas sp. SKA14	Stenotrophomonas	391601
A0A0Q5M4S9	A0A0Q5M4S9_9MICO	unreviewed	Translational regulator CsrA	csrA ASF88_18565	Leifsonia sp. Leaf336	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Microbacteriaceae, Leifsonia, unclassified Leifsonia, Leifsonia sp. Leaf336	Leifsonia	1736341
A0A3A1R7U2	A0A3A1R7U2_9BACI	unreviewed	Translational regulator CsrA	csrA D3H55_01505	Bacillus salacetis	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus salacetis	Bacillus	2315464
L0DDB1	L0DDB1_SINAD	unreviewed	Translational regulator CsrA	csrA Sinac_2533	Singulisphaera acidiphila (strain ATCC BAA-1392 / DSM 18658 / VKM B-2454 / MOB10)	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Isosphaerales, Isosphaeraceae, Singulisphaera, Singulisphaera acidiphila, Singulisphaera acidiphila (strain ATCC BAA-1392 / DSM 18658 / VKM B-2454 / MOB10)	Singulisphaera	886293
A0A0H0ZSD1	A0A0H0ZSD1_9MICC	unreviewed	Translational regulator CsrA	csrA AA310_06670	Arthrobacter sp. YC-RL1	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Micrococcaceae, Arthrobacter, unclassified Arthrobacter, Arthrobacter sp. YC-RL1	Arthrobacter	1652545
A0A1L8D4N7	A0A1L8D4N7_9THEO	unreviewed	Translational regulator CsrA	csrA ciss_20780	Carboxydothermus islandicus	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Carboxydothermus, Carboxydothermus islandicus	Carboxydothermus	661089
D4JWT1	D4JWT1_9FIRM	unreviewed	Translational regulator CsrA	csrA EUS_26070	[Eubacterium] siraeum 70/3	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Oscillospiraceae, Oscillospiraceae incertae sedis, [Eubacterium] siraeum, [Eubacterium] siraeum 70/3		657319
A0A178IF81	A0A178IF81_9BACT	unreviewed	Translational regulator CsrA	csrA AW736_16435	Opitutaceae bacterium TSB47	cellular organisms, Bacteria, PVC group, Verrucomicrobia, Opitutae, Opitutales, Opitutaceae, unclassified Opitutaceae, Opitutaceae bacterium TSB47		1184151
A0A2N5MMY9	A0A2N5MMY9_9BACI	unreviewed	Translational regulator CsrA	csrA CUU64_00025	Bacillus sp. V5-8f	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, unclassified Bacillus (in: Bacteria), Bacillus sp. V5-8f	Bacillus	2053044
A0A3Q9B9H2	A0A3Q9B9H2_9FIRM	unreviewed	Translational regulator CsrA	csrA D7D81_15530	Halocella sp. SP3-1	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Halanaerobiales, Halanaerobiaceae, Halocella, unclassified Halocella, Halocella sp. SP3-1	Halocella	2382161
E8QZL2	E8QZL2_ISOPI	unreviewed	Translational regulator CsrA	csrA Isop_1564	Isosphaera pallida (strain ATCC 43644 / DSM 9630 / IS1B)	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Isosphaerales, Isosphaeraceae, Isosphaera, Isosphaera pallida, Isosphaera pallida (strain ATCC 43644 / DSM 9630 / IS1B)	Isosphaera	575540
A0A1H2N2W1	A0A1H2N2W1_9PSED	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA SAMN05216202_2868	Pseudomonas mucidolens	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas fluorescens group (fluorescent pseudomonads), Pseudomonas mucidolens	Pseudomonas	46679
A0A0J6JHI7	A0A0J6JHI7_PSETA	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA TU78_18770	Pseudomonas taetrolens	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas taetrolens	Pseudomonas	47884
T0N127	T0N127_9CLOT	unreviewed	Translational regulator CsrA	csrA M918_03880	Clostridium sp. BL8	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, unclassified Clostridium, Clostridium sp. BL8	Clostridium	1354301
W1TPU4	W1TPU4_9ACTO	unreviewed	Translational regulator CsrA	csrA Q618_VCMC00002G0076	Varibaculum cambriense DORA_20	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Actinomycetales, Actinomycetaceae, Varibaculum, Varibaculum cambriense, Varibaculum cambriense DORA_20	Varibaculum	1403948
Q24T29	CSRA_DESHY	reviewed	Translational regulator CsrA	csrA DSY3024	Desulfitobacterium hafniense (strain Y51)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Peptococcaceae, Desulfitobacterium, Desulfitobacterium hafniense (Desulfitobacterium frappieri), Desulfitobacterium hafniense (strain Y51)	Desulfitobacterium	138119
A0A2K8L6J7	A0A2K8L6J7_9PROT	unreviewed	Translational regulator CsrA	csrA Ga0123462_2120	Mariprofundus ferrinatatus	cellular organisms, Bacteria, Proteobacteria, Zetaproteobacteria, Mariprofundales, Mariprofundaceae, Mariprofundus, Mariprofundus ferrinatatus	Mariprofundus	1921087
J0WTW1	J0WTW1_9CLOT	unreviewed	Translational regulator CsrA	csrA HMPREF1141_2797	Clostridium sp. MSTE9	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, unclassified Clostridium, Clostridium sp. MSTE9	Clostridium	1105031
A7FWY7	CSRA_CLOB1	reviewed	Translational regulator CsrA	csrA CLB_2678	Clostridium botulinum (strain ATCC 19397 / Type A)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, Clostridium botulinum, Clostridium botulinum A, Clostridium botulinum (strain ATCC 19397 / Type A)	Clostridium	441770
G4KYG8	G4KYG8_OSCVS	unreviewed	Translational regulator CsrA	csrA OBV_39730	Oscillibacter valericigenes (strain DSM 18026 / NBRC 101213 / Sjm18-20)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Oscillospiraceae, Oscillibacter, Oscillibacter valericigenes, Oscillibacter valericigenes (strain DSM 18026 / NBRC 101213 / Sjm18-20)	Oscillibacter	693746
A0A151AYG0	A0A151AYG0_9THEO	unreviewed	Translational regulator CsrA	csrA MOMUL_12960	Moorella mulderi DSM 14980	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Moorella group, Moorella, Moorella mulderi, Moorella mulderi DSM 14980	Moorella	1122241
D5SUZ7	D5SUZ7_PLAL2	unreviewed	Translational regulator CsrA	csrA Plim_3470	Planctopirus limnophila (strain ATCC 43296 / DSM 3776 / IFAM 1008 / 290) (Planctomyces limnophilus)	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctopirus, Planctopirus limnophila (Planctomyces limnophilus), Planctopirus limnophila (strain ATCC 43296 / DSM 3776 / IFAM 1008 / 290) (Planctomyces limnophilus)	Planctopirus	521674
C4L5P2	CSRA_EXISA	reviewed	Translational regulator CsrA	csrA EAT1b_0928	Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillales incertae sedis, Bacillales Family XII. Incertae Sedis, Exiguobacterium, unclassified Exiguobacterium, Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b)	Exiguobacterium	360911
Q1IDC4	Q1IDC4_PSEE4	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA-3 csrA PSEEN1464	Pseudomonas entomophila (strain L48)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas entomophila, Pseudomonas entomophila (strain L48)	Pseudomonas	384676
A0A265QB00	A0A265QB00_9FIRM	unreviewed	Translational regulator CsrA	csrA CIW83_04380	Tissierella sp. P1	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Tissierellia, Tissierellales, Tissierellaceae, Tissierella, unclassified Tissierella, Tissierella sp. P1	Tissierella	1280483
A0A7C0WR65	A0A7C0WR65_9DELT	unreviewed	Translational regulator CsrA	csrA ENG14_00230	Thermodesulforhabdus norvegica	cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Syntrophobacterales, Syntrophobacteraceae, Thermodesulforhabdus, Thermodesulforhabdus norvegica	Thermodesulforhabdus	39841
A0A2Y9A464	A0A2Y9A464_9MICO	unreviewed	Translational regulator CsrA	csrA SAMN05216184_102211	Georgenia satyanarayanai	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Micrococcales, Bogoriellaceae, Georgenia, Georgenia satyanarayanai	Georgenia	860221
S6AQQ3	S6AQQ3_PSERE	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA PCA10_p1360	Pseudomonas resinovorans NBRC 106553	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas aeruginosa group, Pseudomonas resinovorans, Pseudomonas resinovorans NBRC 106553	Pseudomonas	1245471
A0A2V4T2J0	A0A2V4T2J0_9PSED	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA C7522_11947	Pseudomonas sp. GV034	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, unclassified Pseudomonas, Pseudomonas sp. GV034	Pseudomonas	2135576
A0A0N8NTF2	A0A0N8NTF2_9CLOT	unreviewed	Translational regulator CsrA	csrA OXPF_17500	Oxobacter pfennigii	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Oxobacter, Oxobacter pfennigii	Oxobacter	36849
Q0SNY0	CSRA_BORAP	reviewed	Translational regulator CsrA	csrA BAPKO_0186 BafPKo_0181	Borrelia afzelii (strain PKo)	cellular organisms, Bacteria, Spirochaetes, Spirochaetia, Spirochaetales, Borreliaceae, Borreliella, Borrelia afzelii (Borreliella afzelii), Borrelia afzelii (strain PKo)	Borreliella	390236
D5SNJ0	D5SNJ0_PLAL2	unreviewed	Translational regulator CsrA	csrA Plim_2278	Planctopirus limnophila (strain ATCC 43296 / DSM 3776 / IFAM 1008 / 290) (Planctomyces limnophilus)	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctopirus, Planctopirus limnophila (Planctomyces limnophilus), Planctopirus limnophila (strain ATCC 43296 / DSM 3776 / IFAM 1008 / 290) (Planctomyces limnophilus)	Planctopirus	521674
A0A7H0Y7Q3	A0A7H0Y7Q3_9BACL	unreviewed	Translational regulator CsrA	csrA IAQ67_25700	Paenibacillus peoriae	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus peoriae	Paenibacillus	59893
A0A379IBC6	A0A379IBC6_PSEFL	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA_1 csrA NCTC10392_02029	Pseudomonas fluorescens	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas fluorescens group (fluorescent pseudomonads), Pseudomonas fluorescens	Pseudomonas	294
Q8ENI0	CSRA_OCEIH	reviewed	Translational regulator CsrA	csrA OB2503	Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Oceanobacillus, Oceanobacillus iheyensis, Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831)	Oceanobacillus	221109
A0A367W9B6	A0A367W9B6_9PROT	unreviewed	Translational regulator CsrA	csrA TH19_08500	Thalassospira profundimaris	cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Thalassospiraceae, Thalassospira, Thalassospira profundimaris	Thalassospira	502049
A0A4P6K1A9	A0A4P6K1A9_9CHLR	unreviewed	Translational regulator CsrA	csrA EPA93_37965	Ktedonosporobacter rubrisoli	cellular organisms, Bacteria, Terrabacteria group, Chloroflexi, Ktedonobacteria, Ktedonobacterales, Ktedonosporobacteraceae, Ktedonosporobacter, Ktedonosporobacter rubrisoli	Ktedonosporobacter	2509675
L0DL41	L0DL41_SINAD	unreviewed	Translational regulator CsrA	csrA Sinac_5402	Singulisphaera acidiphila (strain ATCC BAA-1392 / DSM 18658 / VKM B-2454 / MOB10)	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Isosphaerales, Isosphaeraceae, Singulisphaera, Singulisphaera acidiphila, Singulisphaera acidiphila (strain ATCC BAA-1392 / DSM 18658 / VKM B-2454 / MOB10)	Singulisphaera	886293
A0A1H3Y4S7	A0A1H3Y4S7_SELRU	unreviewed	Translational regulator CsrA	csrA SAMN05660648_01804	Selenomonas ruminantium	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Negativicutes, Selenomonadales, Selenomonadaceae, Selenomonas, Selenomonas ruminantium	Selenomonas	971
S3MLA1	S3MLA1_PSESY		Deleted.					
A0A379KF17	A0A379KF17_PSEPU	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA_1 csrA HX798_23985 NCTC7914_00111	Pseudomonas putida (Arthrobacter siderocapsulatus)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas putida group, Pseudomonas putida (Arthrobacter siderocapsulatus)	Pseudomonas	303
A0A356VWS5	A0A356VWS5_9FIRM	unreviewed	Translational regulator CsrA	csrA DD737_01830 DEB16_08455	Oscillospiraceae bacterium	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Oscillospiraceae, unclassified Oscillospiraceae, Oscillospiraceae bacterium		2485925
D5SZG9	D5SZG9_PLAL2	unreviewed	Translational regulator CsrA	csrA Plim_4282	Planctopirus limnophila (strain ATCC 43296 / DSM 3776 / IFAM 1008 / 290) (Planctomyces limnophilus)	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctopirus, Planctopirus limnophila (Planctomyces limnophilus), Planctopirus limnophila (strain ATCC 43296 / DSM 3776 / IFAM 1008 / 290) (Planctomyces limnophilus)	Planctopirus	521674
A0A5Q3L471	A0A5Q3L471_9BACT	unreviewed	Translational regulator CsrA	csrA PBC10988_5650	Planctomycetales bacterium 10988	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, unclassified Planctomycetales, Planctomycetales bacterium 10988		2603660
A0A523WI81	A0A523WI81_9BACT	unreviewed	Translational regulator CsrA	csrA E3J45_06050	candidate division Zixibacteria bacterium	cellular organisms, Bacteria, FCB group, candidate division Zixibacteria, unclassified candidate division Zixibacteria, candidate division Zixibacteria bacterium		2053527
A0A5E7NSK1	A0A5E7NSK1_PSEFL	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA1_2 csrA csrA1_3 PS833_04438 PS838_04811	Pseudomonas fluorescens	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas fluorescens group (fluorescent pseudomonads), Pseudomonas fluorescens	Pseudomonas	294
Q3ILF1	CSRA_PSET1	reviewed	Translational regulator CsrA (Carbon storage regulator)	csrA PSHAa0534	Pseudoalteromonas translucida (strain TAC 125)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas, Pseudoalteromonas translucida, Pseudoalteromonas translucida (strain TAC 125)	Pseudoalteromonas	326442
